"STATE","CITY","LAT","LON","NAME"
"AL","Albertville",34.2622,-86.2049,"Albertville High School"
"AL","Albertville",34.3625,-86.142,"Asbury High School"
"AL","Douglas",34.178658,-86.319462,"Douglas High School"
"AL","Grant",34.53375,-86.254153,"Kate D Smith DAR High School"
"AL","Guntersville",34.3054,-86.2859,"Marshall Technical School"
"AL","Guntersville",34.3764,-86.4219,"Brindlee Mountain High School"
"AL","Hoover",33.3444,-86.8377,"Hoover High School"
"AL","Hoover",33.3927,-86.7288,"Spain Park High School"
"AL","Hoover",33.337604,-86.840932,"Crossroads School"
"AL","Hoover",33.34668,-86.80969,"Riverchase Career Connection Center"
"AL","Madison",34.7192,-86.7425,"Bob Jones High School"
"AL","Madison",34.705886,-86.791802,"James Clemens High School"
"AL","Talladega",33.42544,-86.117706,"E H Gentry Technical Facility"
"AL","Leeds",33.547574,-86.574182,"Leeds High School"
"AL","Boaz",34.2118,-86.1639,"Boaz High School"
"AL","Trussville",33.665684,-86.590765,"HewittTrussville High School"
"AL","Alexander City",32.9377,-85.9508,"Benjamin Russell High School"
"AL","Andalusia",31.3154,-86.4708,"Andalusia High School"
"AL","Anniston",33.6612,-85.82,"Anniston High School"
"AL","Anniston",33.708165,-85.822863,"Anniston City Boot Camp School"
"AL","Arab",34.329247,-86.48857,"Arab High School"
"AL","Athens",34.812486,-86.949822,"Athens High School"
"AL","Attalla",33.996,-86.1109,"Etowah High School"
"AL","Saraland",30.796015,-88.100153,"Saraland High School"
"AL","Chickasaw",30.757103,-88.078474,"Chickasaw City High School"
"AL","Satsuma",30.8471,-88.0569,"Satsuma High School"
"AL","Alabaster",33.222102,-86.845962,"Thompson High School"
"AL","Pelham",33.312895,-86.82121,"Pelham High School"
"AL","Pike Road",32.355003,-86.102682,"Pike Road High School"
"AL","MOBILE",30.672421,-88.138607,"Acceleration Day and Evening Academy"
"AL","Livingston",32.595845,-88.189756,"University Charter School  Secondary"
"AL","Gulf Shores",30.269146,-87.675805,"Gulf Shores High School"
"AL","Auburn",32.603878,-85.446081,"Auburn High School"
"AL","Birmingham",33.470676,-86.829899,"Magic City Acceptance Academy"
"AL","Deatsville",32.619027,-86.481999,"Marbury High School"
"AL","Prattville",32.5005,-86.4716,"Prattville High School"
"AL","Prattville",32.500629,-86.473537,"Autauga County Technology Center"
"AL","Prattville",32.448195,-86.421643,"Louise M Smith Development Center"
"AL","Robertsdale",30.540413,-87.706485,"Robertsdale High School"
"AL","Elberta",30.4198,-87.5998,"Elberta High School"
"AL","Fairhope",30.498068,-87.8836,"Fairhope High School"
"AL","Bay Minette",30.8656,-87.7837,"North Baldwin Center For Technology"
"AL","Robertsdale",30.5495,-87.6962,"South Baldwin Center For Technology"
"AL","Daphne",30.6388,-87.8641,"Daphne High School"
"AL","Foley",30.3817,-87.6893,"Foley High School"
"AL","Bay Minette",30.8937,-87.794,"Baldwin County High School"
"AL","Spanish Fort",30.6887,-87.8541,"Spanish Fort High School"
"AL","Robertsdale",30.552507,-87.698735,"CF Taylor Alternative School"
"AL","Daphne",30.584455,-87.899726,"Baldwin County Virtual School"
"AL","Clayton",31.868278,-85.44613,"Barbour County High School"
"AL","Bessemer",33.370885,-86.999217,"Bessemer City High School"
"AL","Bessemer",33.4023,-86.9582,"New Horizon Alternative School"
"AL","Bessemer",33.370885,-86.999217,"Bessemer Center For Technology"
"AL","Centreville",32.9472,-87.1426,"Bibb County High School"
"AL","West Blocton",33.1131,-87.1284,"West Blocton High School"
"AL","West Blocton",33.0518,-87.136,"Bibb County Career Academy"
"AL","Birmingham",33.611201,-86.683271,"Huffman High SchoolMagnet"
"AL","Birmingham",33.518499,-86.892235,"JacksonOlin High School"
"AL","Birmingham",33.514596,-86.829301,"Parker High School"
"AL","Birmingham",33.4976,-86.7986,"Ramsay High School"
"AL","Birmingham",33.45457,-86.884829,"Wenonah High School"
"AL","Birmingham",33.5422,-86.7521,"Woodlawn High SchoolMagnet"
"AL","Birmingham",33.547981,-86.769366,"Dupuy Alternative School"
"AL","Birmingham",33.5584,-86.828,"George Washington Carver High School"
"AL","Birmingham",33.519899,-86.808778,"Homebound High School"
"AL","Cleveland",33.9932,-86.5736,"Cleveland High School"
"AL","Hayden",33.8869,-86.7681,"Hayden High School"
"AL","Blountsville",34.0858,-86.5888,"JB Pennington High School"
"AL","Locust Fork",33.9084,-86.6179,"Locust Fork High School"
"AL","Blountsville",34.0828,-86.4303,"Susan Moore High School"
"AL","Cleveland",33.991488,-86.561712,"Blount County Career Technical Center"
"AL","Brewton",31.1382,-87.0704,"TR Miller High School"
"AL","Union Springs",32.129773,-85.722772,"Bullock County High School"
"AL","Union Springs",32.142862,-85.712739,"Bullock County Career Technical Center"
"AL","Greenville",31.837042,-86.65194,"Greenville High School"
"AL","Greenville",31.837042,-86.65194,"Butler County Area Vocational School"
"AL","Alexandria",33.775146,-85.887066,"Alexandria High School"
"AL","Ohatchee",33.786,-86.0014,"Ohatchee High School"
"AL","Anniston",33.7022,-85.8367,"Saks High School"
"AL","Weaver",33.7471,-85.8309,"Weaver High School"
"AL","Anniston",33.747043,-85.686986,"White Plains High School"
"AL","Jacksonville",33.801672,-85.757907,"Calhoun County Career Technical Center"
"AL","Jacksonville",33.885484,-85.816324,"Pleasant Valley High School"
"AL","Anniston",33.6525,-85.882,"Wellborn High School"
"AL","Lafayette",32.8994,-85.3965,"Lafayette High School"
"AL","Valley",32.8022,-85.1815,"Valley High School"
"AL","Lafayette",32.890312,-85.381482,"Inspire Academy"
"AL","LaFayette",32.890312,-85.381482,"Inspire Virtual Academy"
"AL","Centre",34.1638,-85.6587,"Cherokee County High School"
"AL","Centre",34.1597,-85.6865,"Cherokee County Career  Technology Center"
"AL","Jemison",32.9655,-86.7483,"Jemison High School"
"AL","Clanton",32.8321,-86.6736,"W A Lecroy Career  Technical Center"
"AL","Clanton",32.8219,-86.6127,"Chilton County High School"
"AL","Clanton",32.840923,-86.62477,"Chilton County Alternative School"
"AL","Butler",32.0798,-88.2332,"Choctaw County High School"
"AL","Gilbertown",31.8429,-88.3193,"Southern Choctaw High School"
"AL","Grove Hill",31.705821,-87.77412,"Clarke County High School"
"AL","Jackson",31.5482,-87.8851,"Jackson High School"
"AL","Lineville",33.290823,-85.787937,"Central High School of Clay County"
"AL","Heflin",33.648138,-85.571924,"Cleburne County High School"
"AL","Ranburne",33.523373,-85.346519,"Ranburne High School"
"AL","Heflin",33.597278,-85.482177,"Cleburne County Career Technical School"
"AL","Heflin",33.597278,-85.482177,"Cleburne County Alternative School"
"AL","New Brockton",31.380382,-85.935457,"New Brockton High School"
